filename,label
100023.jpg,spiral
100053.jpg,elliptical
100078.jpg,elliptical
100090.jpg,elliptical
100122.jpg,elliptical
100123.jpg,irregular
100128.jpg,elliptical
100134.jpg,irregular
100263.jpg,irregular
100288.jpg,elliptical
100295.jpg,elliptical
100380.jpg,spiral
100402.jpg,elliptical
100428.jpg,elliptical
100434.jpg,elliptical
100444.jpg,elliptical
100458.jpg,irregular
100479.jpg,elliptical
100513.jpg,irregular
100520.jpg,irregular
100561.jpg,irregular
100571.jpg,irregular
100601.jpg,elliptical
100672.jpg,elliptical
100673.jpg,spiral
100724.jpg,elliptical
100727.jpg,elliptical
100730.jpg,elliptical
100740.jpg,elliptical
100744.jpg,elliptical
100765.jpg,spiral
100801.jpg,spiral
100813.jpg,spiral
100821.jpg,spiral
100852.jpg,elliptical
100859.jpg,spiral
100861.jpg,elliptical
100867.jpg,elliptical
100887.jpg,elliptical
100951.jpg,spiral
101007.jpg,spiral
101061.jpg,elliptical
101074.jpg,spiral
101092.jpg,elliptical
101133.jpg,irregular
101135.jpg,elliptical
101140.jpg,spiral
101151.jpg,elliptical
101164.jpg,elliptical
101244.jpg,irregular
101246.jpg,elliptical
101247.jpg,elliptical
101251.jpg,elliptical
101275.jpg,spiral
101283.jpg,elliptical
101286.jpg,elliptical
101290.jpg,elliptical
101291.jpg,elliptical
101296.jpg,elliptical
101298.jpg,spiral
101307.jpg,spiral
101315.jpg,spiral
101325.jpg,irregular
101371.jpg,irregular
101501.jpg,irregular
101502.jpg,irregular
101518.jpg,elliptical
101538.jpg,elliptical
101548.jpg,elliptical
101564.jpg,spiral
101572.jpg,elliptical
101589.jpg,irregular
101591.jpg,irregular
101597.jpg,irregular
101599.jpg,elliptical
101623.jpg,elliptical
101627.jpg,elliptical
101651.jpg,elliptical
101654.jpg,irregular
101666.jpg,irregular
101695.jpg,elliptical
101754.jpg,elliptical
101756.jpg,irregular
101774.jpg,spiral
101787.jpg,spiral
101798.jpg,irregular
101804.jpg,spiral
101816.jpg,elliptical
101854.jpg,elliptical
101858.jpg,elliptical
101875.jpg,elliptical
101943.jpg,elliptical
101971.jpg,elliptical
101980.jpg,irregular
101991.jpg,spiral
102000.jpg,elliptical
102015.jpg,elliptical
102040.jpg,spiral
102046.jpg,irregular
102115.jpg,elliptical
102174.jpg,elliptical
102176.jpg,spiral
102182.jpg,elliptical
102243.jpg,irregular
102260.jpg,elliptical
102295.jpg,elliptical
102347.jpg,irregular
102371.jpg,elliptical
102391.jpg,spiral
102402.jpg,spiral
102407.jpg,spiral
102422.jpg,spiral
102433.jpg,spiral
102471.jpg,elliptical
102474.jpg,irregular
102481.jpg,elliptical
102513.jpg,elliptical
102556.jpg,elliptical
102595.jpg,irregular
102602.jpg,elliptical
102616.jpg,elliptical
102642.jpg,elliptical
102699.jpg,irregular
102729.jpg,elliptical
102735.jpg,spiral
102742.jpg,spiral
102743.jpg,elliptical
102765.jpg,spiral
102770.jpg,elliptical
102799.jpg,elliptical
102804.jpg,elliptical
102808.jpg,elliptical
102822.jpg,irregular
102834.jpg,elliptical
102839.jpg,elliptical
102843.jpg,elliptical
102871.jpg,elliptical
102919.jpg,irregular
102928.jpg,elliptical
102933.jpg,elliptical
102977.jpg,elliptical
102990.jpg,spiral
102998.jpg,irregular
103019.jpg,spiral
103037.jpg,spiral
103072.jpg,elliptical
103075.jpg,spiral
103191.jpg,elliptical
103224.jpg,elliptical
103233.jpg,elliptical
103260.jpg,elliptical
103323.jpg,elliptical
103348.jpg,elliptical
103353.jpg,elliptical
103354.jpg,elliptical
103356.jpg,spiral
103386.jpg,elliptical
103393.jpg,elliptical
103444.jpg,elliptical
103491.jpg,irregular
103500.jpg,elliptical
103523.jpg,irregular
103533.jpg,spiral
103547.jpg,spiral
103561.jpg,spiral
103577.jpg,elliptical
103610.jpg,elliptical
103626.jpg,elliptical
103645.jpg,elliptical
103646.jpg,elliptical
103707.jpg,irregular
103718.jpg,elliptical
103731.jpg,elliptical
103754.jpg,irregular
103758.jpg,elliptical
103818.jpg,spiral
103819.jpg,elliptical
103824.jpg,spiral
103900.jpg,elliptical
103902.jpg,elliptical
103904.jpg,elliptical
103907.jpg,elliptical
103950.jpg,spiral
103955.jpg,elliptical
103974.jpg,irregular
103979.jpg,spiral
104001.jpg,irregular
104020.jpg,spiral
104040.jpg,spiral
104096.jpg,elliptical
104110.jpg,elliptical
104141.jpg,elliptical
104143.jpg,elliptical
104159.jpg,elliptical
104173.jpg,elliptical
104196.jpg,elliptical
104234.jpg,spiral
104243.jpg,elliptical
104253.jpg,elliptical
104279.jpg,irregular
104281.jpg,elliptical
104365.jpg,irregular
104387.jpg,elliptical
104389.jpg,spiral
104414.jpg,irregular
104420.jpg,spiral
104422.jpg,elliptical
104440.jpg,elliptical
104460.jpg,elliptical
104478.jpg,spiral
104516.jpg,elliptical
104536.jpg,spiral
104589.jpg,spiral
104602.jpg,elliptical
104611.jpg,elliptical
104612.jpg,elliptical
104703.jpg,elliptical
104709.jpg,elliptical
104764.jpg,elliptical
104769.jpg,elliptical
104784.jpg,spiral
104929.jpg,elliptical
104934.jpg,spiral
104977.jpg,irregular
104988.jpg,elliptical
105009.jpg,spiral
105014.jpg,irregular
105020.jpg,elliptical
105028.jpg,irregular
105069.jpg,spiral
105082.jpg,elliptical
105088.jpg,elliptical
105092.jpg,elliptical
105165.jpg,elliptical
105218.jpg,spiral
105258.jpg,elliptical
105279.jpg,elliptical
105314.jpg,spiral
105331.jpg,elliptical
105354.jpg,elliptical
105365.jpg,spiral
105417.jpg,spiral
105447.jpg,elliptical
105459.jpg,elliptical
105497.jpg,spiral
105500.jpg,spiral
105507.jpg,elliptical
105539.jpg,spiral
105541.jpg,elliptical
105572.jpg,spiral
105581.jpg,elliptical
105631.jpg,spiral
105648.jpg,elliptical
105700.jpg,spiral
105755.jpg,elliptical
105757.jpg,elliptical
105762.jpg,elliptical
105772.jpg,elliptical
105774.jpg,irregular
105797.jpg,elliptical
105868.jpg,irregular
105870.jpg,elliptical
105900.jpg,irregular
105925.jpg,spiral
105991.jpg,elliptical
106000.jpg,elliptical
106018.jpg,elliptical
106028.jpg,elliptical
106040.jpg,elliptical
106044.jpg,elliptical
106049.jpg,irregular
106079.jpg,irregular
106105.jpg,elliptical
106124.jpg,elliptical
106147.jpg,elliptical
106170.jpg,elliptical
106205.jpg,elliptical
106206.jpg,irregular
106230.jpg,irregular
106263.jpg,irregular
106355.jpg,spiral
106357.jpg,irregular
106388.jpg,elliptical
106390.jpg,spiral
106463.jpg,elliptical
106471.jpg,irregular
106544.jpg,elliptical
106612.jpg,elliptical
106621.jpg,spiral
106652.jpg,elliptical
106664.jpg,spiral
106689.jpg,elliptical
106694.jpg,elliptical
106725.jpg,irregular
106749.jpg,elliptical
106773.jpg,elliptical
106777.jpg,spiral
106781.jpg,elliptical
106784.jpg,spiral
106800.jpg,elliptical
106812.jpg,elliptical
106829.jpg,elliptical
106841.jpg,elliptical
106896.jpg,elliptical
106919.jpg,elliptical
106923.jpg,elliptical
106973.jpg,elliptical
107012.jpg,spiral
107019.jpg,elliptical
107055.jpg,elliptical
107084.jpg,spiral
107106.jpg,elliptical
107143.jpg,elliptical
107159.jpg,spiral
107193.jpg,irregular
107202.jpg,spiral
107229.jpg,spiral
107261.jpg,elliptical
